Month,Events
01/11/2012 0:00,17
01/12/2012 0:00,12
01/01/2013 0:00,27
01/02/2013 0:00,20
01/03/2013 0:00,20
01/04/2013 0:00,18
01/05/2013 0:00,22
01/06/2013 0:00,19
01/07/2013 0:00,19
01/08/2013 0:00,24
01/09/2013 0:00,17
01/10/2013 0:00,16
01/11/2013 0:00,24
01/12/2013 0:00,19
01/01/2014 0:00,19
01/02/2014 0:00,22
01/03/2014 0:00,25
01/04/2014 0:00,19
01/05/2014 0:00,17
01/06/2014 0:00,6
01/07/2014 0:00,25
01/08/2014 0:00,17
01/09/2014 0:00,11
01/10/2014 0:00,14
01/11/2014 0:00,9
01/12/2014 0:00,11
01/01/2015 0:00,7
01/02/2015 0:00,13
01/03/2015 0:00,5
01/04/2015 0:00,5
01/05/2015 0:00,3
01/06/2015 0:00,5
01/07/2015 0:00,9
01/08/2015 0:00,4
01/09/2015 0:00,5
01/10/2015 0:00,9
