Date of Fatality,Surgeries
06/08/2011 0:00,23
26/08/2011 0:00,39
31/08/2011 0:00,15
13/09/2011 0:00,34
14/09/2011 0:00,1
10/10/2011 0:00,49
25/11/2011 0:00,98
07/12/2011 0:00,29
19/12/2011 0:00,27
24/12/2011 0:00,13
12/01/2012 0:00,45
16/01/2012 0:00,7
19/01/2012 0:00,10
03/02/2012 0:00,27
17/02/2012 0:00,24
26/02/2012 0:00,14
05/03/2012 0:00,20
20/03/2012 0:00,38
10/04/2012 0:00,44
16/04/2012 0:00,11
19/04/2012 0:00,10
20/04/2012 0:00,3
15/06/2012 0:00,113
10/10/2012 0:00,183
11/10/2012 0:00,3
13/11/2012 0:00,47
22/11/2012 0:00,18
01/12/2012 0:00,18
20/12/2012 0:00,33
01/01/2013 0:00,15
02/01/2013 0:00,2
18/01/2013 0:00,38
31/01/2013 0:00,27
18/02/2013 0:00,27
19/02/2013 0:00,1
26/03/2013 0:00,52
11/04/2013 0:00,23
16/04/2013 0:00,7
07/05/2013 0:00,26
14/06/2013 0:00,82
17/06/2013 0:00,5
12/07/2013 0:00,49
15/07/2013 0:00,5
26/07/2013 0:00,17
08/08/2013 0:00,24
28/08/2013 0:00,44
06/09/2013 0:00,26
09/09/2013 0:00,2
17/09/2013 0:00,27
08/10/2013 0:00,46
01/11/2013 0:00,55
09/12/2013 0:00,97
17/12/2013 0:00,22
30/12/2013 0:00,22
08/01/2014 0:00,20
09/01/2014 0:00,4
08/02/2014 0:00,60
03/03/2014 0:00,51
06/03/2014 0:00,7
13/03/2014 0:00,21
04/04/2014 0:00,66
23/04/2014 0:00,36
04/05/2014 0:00,25
04/06/2014 0:00,72
10/06/2014 0:00,15
11/06/2014 0:00,5
12/06/2014 0:00,3
