Month,Sum of Met Target,Sum of Attendances
01/01/2000 0:00,266501,280443
01/02/2000 0:00,264225,276823
01/03/2000 0:00,276532,291681
01/04/2000 0:00,281461,296155
01/05/2000 0:00,269071,282343
01/06/2000 0:00,261215,275888
01/07/2000 0:00,270409,283867
01/08/2000 0:00,279778,295251
01/09/2000 0:00,270483,284468
01/10/2000 0:00,270320,282529
01/11/2000 0:00,267923,279618
01/12/2000 0:00,271478,283932
01/01/2001 0:00,255353,266629
01/02/2001 0:00,256820,268091
01/03/2001 0:00,261835,276803
01/04/2001 0:00,259144,271578
01/05/2001 0:00,255910,266005
01/06/2001 0:00,260863,273520
01/07/2001 0:00,264465,278574
01/08/2001 0:00,260989,273772
