Hospital,Sum of Observed,Sum of Predicted
30001,406,523.6963044
30002,642,612.9785529
30003,46,53.79136188
30006,764,763.7178876
30007,82,120.9373928
30008,201,250.186017
30009,193,155.4920962
30010,569,484.7148764
30011,404,362.2221306
30012,134,188.9266125
30013,614,554.3847673
30014,491,616.7379837
30016,501,360.1473306
30017,131,245.6126023
30018,274,263.5645839
30019,124,154.6624229
30022,456,475.0158872
30023,48,38.93393209
30024,429,445.0965581
30025,14,28.79713888
30030,369,347.5364043
30033,8,7.561051366
30035,37,73.20560175
30036,128,118.1137607
30037,145,273.3377277
30038,493,449.7932045
30043,104,172.3785833
30044,6,19.19625886
30055,308,321.8580097
30059,34,36.56299573
30060,7,19.96429155
30061,935,851.7163725
30062,134,198.9405607
30064,339,302.3934301
30065,458,410.1634715
30067,22,45.86532148
30068,2,9.667314788
30069,160,212.3449505
30073,87,38.92217191
30078,55,31.73786976
30080,252,285.6359115
30083,174,186.6560639
30084,43,33.9818341
30085,228,255.6546675
30086,210,242.0258665
30087,321,279.4762171
30088,631,619.2635856
30089,543,626.1301962
30092,105,145.6748627
30093,389,413.8620951
30094,92,111.2627927
32000,1012,685.5857238
32002,283,181.1079112
32003,95,24.80648036
