Month,SD,N
01/07/2011 0:00,8.608590903,52
01/08/2011 0:00,8.79062897,64
01/09/2011 0:00,10.08574971,70
01/10/2011 0:00,10.36063971,60
01/11/2011 0:00,10.04897214,67
01/12/2011 0:00,8.874787489,69
01/01/2012 0:00,9.435716287,67
01/02/2012 0:00,9.439481953,54
01/03/2012 0:00,11.152138,79
01/04/2012 0:00,8.423968033,59
01/05/2012 0:00,8.951099301,49
01/06/2012 0:00,10.73189018,61
01/07/2012 0:00,8.695250106,41
01/08/2012 0:00,9.556020591,51
01/09/2012 0:00,10.31611984,56
01/10/2012 0:00,9.961802758,43
01/11/2012 0:00,9.60969062,57
01/12/2012 0:00,9.255777544,48
01/01/2013 0:00,8.439479768,69
01/02/2013 0:00,9.472340743,41
01/03/2013 0:00,9.597524301,40
01/04/2013 0:00,8.794656362,46
01/05/2013 0:00,9.90118281,59
01/06/2013 0:00,10.65280507,62
01/07/2013 0:00,9.591763597,57
01/08/2013 0:00,9.552809526,65
01/09/2013 0:00,9.675439439,75
01/10/2013 0:00,10.27845216,70
01/11/2013 0:00,8.597497639,76
01/12/2013 0:00,9.803312144,69
01/01/2014 0:00,7.837273334,64
01/02/2014 0:00,8.885072791,67
01/03/2014 0:00,9.397339791,84
01/04/2014 0:00,9.73203083,67
01/05/2014 0:00,8.516537269,69
01/06/2014 0:00,11.11374396,78
