Date of Fatality,Days
06/08/2011 0:00,16
26/08/2011 0:00,20
31/08/2011 0:00,5
13/09/2011 0:00,13
14/09/2011 0:00,1
10/10/2011 0:00,26
25/11/2011 0:00,46
07/12/2011 0:00,12
19/12/2011 0:00,12
24/12/2011 0:00,5
12/01/2012 0:00,19
16/01/2012 0:00,4
19/01/2012 0:00,3
03/02/2012 0:00,15
17/02/2012 0:00,14
26/02/2012 0:00,9
05/03/2012 0:00,8
20/03/2012 0:00,15
10/04/2012 0:00,21
16/04/2012 0:00,6
19/04/2012 0:00,3
20/04/2012 0:00,1
15/06/2012 0:00,56
10/10/2012 0:00,117
11/10/2012 0:00,1
13/11/2012 0:00,33
22/11/2012 0:00,9
01/12/2012 0:00,9
20/12/2012 0:00,19
01/01/2013 0:00,12
02/01/2013 0:00,1
18/01/2013 0:00,16
31/01/2013 0:00,13
18/02/2013 0:00,18
19/02/2013 0:00,1
26/03/2013 0:00,35
11/04/2013 0:00,16
16/04/2013 0:00,5
07/05/2013 0:00,21
14/06/2013 0:00,38
17/06/2013 0:00,3
12/07/2013 0:00,25
15/07/2013 0:00,3
26/07/2013 0:00,11
08/08/2013 0:00,13
28/08/2013 0:00,20
06/09/2013 0:00,9
09/09/2013 0:00,3
17/09/2013 0:00,8
08/10/2013 0:00,21
01/11/2013 0:00,24
09/12/2013 0:00,38
17/12/2013 0:00,8
30/12/2013 0:00,13
08/01/2014 0:00,9
09/01/2014 0:00,1
08/02/2014 0:00,30
03/03/2014 0:00,23
06/03/2014 0:00,3
13/03/2014 0:00,7
04/04/2014 0:00,22
23/04/2014 0:00,19
04/05/2014 0:00,11
04/06/2014 0:00,31
10/06/2014 0:00,6
11/06/2014 0:00,1
12/06/2014 0:00,1
