Month,Mean,N,SD
01/07/2011 0:00,66.88076923,52,8.608590903
01/08/2011 0:00,68.76148438,64,8.79062897
01/09/2011 0:00,67.75255714,70,10.08574971
01/10/2011 0:00,67.04618333,60,10.36063971
01/11/2011 0:00,67.19908955,67,10.04897214
01/12/2011 0:00,67.43446377,69,8.874787489
01/01/2012 0:00,69.22708955,67,9.435716287
01/02/2012 0:00,71.11757407,54,9.439481953
01/03/2012 0:00,67.63003797,79,11.152138
01/04/2012 0:00,69.97171186,59,8.423968033
01/05/2012 0:00,66.66820408,49,8.951099301
01/06/2012 0:00,67.76272131,61,10.73189018
01/07/2012 0:00,69.32492683,41,8.695250106
01/08/2012 0:00,66.038,51,9.556020591
01/09/2012 0:00,67.61007143,56,10.31611984
01/10/2012 0:00,69.6935814,43,9.961802758
01/11/2012 0:00,67.62007018,57,9.60969062
01/12/2012 0:00,67.313125,48,9.255777544
01/01/2013 0:00,68.41063768,69,8.439479768
01/02/2013 0:00,64.72631707,41,9.472340743
01/03/2013 0:00,68.2782,40,9.597524301
01/04/2013 0:00,69.34034783,46,8.794656362
01/05/2013 0:00,66.52935593,59,9.90118281
01/06/2013 0:00,66.6651129,62,10.65280507
01/07/2013 0:00,67.26926316,57,9.591763597
01/08/2013 0:00,67.69330769,65,9.552809526
01/09/2013 0:00,67.59929333,75,9.675439439
01/10/2013 0:00,67.29372857,70,10.27845216
01/11/2013 0:00,68.46580263,76,8.597497639
01/12/2013 0:00,66.82431884,69,9.803312144
01/01/2014 0:00,68.87234375,64,7.837273334
01/02/2014 0:00,66.75237313,67,8.885072791
01/03/2014 0:00,67.40727381,84,9.397339791
01/04/2014 0:00,69.86720896,67,9.73203083
01/05/2014 0:00,68.19014493,69,8.516537269
01/06/2014 0:00,66.04452564,78,11.11374396
