categories,numerators
1/01/2024,0.067296169
1/02/2024,0.79484027
1/03/2024,1.517728557
1/04/2024,-2.164899948
1/05/2024,-0.214388798
1/06/2024,0.128590362
1/07/2024,0.225298663
1/08/2024,-2.137821047
1/09/2024,-2.056007427
1/10/2024,-2.056585902
1/11/2024,-0.052292824
1/12/2024,-0.757634634
1/01/2025,-0.009250289
1/02/2025,0.75480259
1/03/2025,0.777646006
1/04/2025,0.530185518
1/05/2025,-0.269852334
1/06/2025,-0.541276469
1/07/2025,0.696524217
1/08/2025,0.385201935
1/09/2025,-0.881771776
1/10/2025,-1.524987202
1/11/2025,0.54770079
1/12/2025,2.943959911
